,Points,Title,Description,TasterName,Taster_Twitter_Handle,Price,Designation,Variety,Region_1,Region_2,Province,Country,Winery,Vintage,County
40350,92,Fielding Hills 2013 Estate Riverbend Vineyard Merlot (Wahluke Slope),"Coffee, spice, vanilla and pencil lead aromas are followed by rich, luscious, full-bodied fruit and barrel flavors. It's hedonistic and pulls no punches but shows balance: an equal mix of fruit and barrel.",Sean P. Sullivan,@wawinereport,36.0,Estate Riverbend Vineyard,Merlot,Wahluke Slope,Columbia Valley,Washington,US,Fielding Hills,,
40351,92,Herdade do Esporão 2012 AB Alicante Bouschet (Alentejano),"One in a series of single varietal wines, this brings out the richness of Alicante Bouschet. The dark color comes from the red juice of the grapes. The flavors show richness, dense black fruits and a dark series of tannins. Drink this concentrated wine from 2018.",Roger Voss,@vossroger,39.0,AB,Alicante Bouschet,,,Alentejano,Portugal,Herdade do Esporão,,
40352,92,J. Lohr 2014 October Night Chardonnay (Arroyo Seco),"Delicate aromas of lemon blossom, ripe Asian pear and a touch of yellow melon show on the nose of this versatile and tasty bottling. Grippy tension consumes the palate, led by lemon rind, but there's also a richer yellow-apple and pear core as well as a bit of pineapple.",Matt Kettmann,@mattkettmann,25.0,October Night,Chardonnay,Arroyo Seco,Central Coast,California,US,J. Lohr,,
40353,92,La Crema 2013 Pinot Noir (Anderson Valley),"A dash of spicy oak suggests nutmeg and cinnamon in the aroma of this well-balanced, rich and flavorful wine. Cherry, red currant and touches of mint and cedar fill out the palate, and the texture is just firm enough, with fine tannins for great balance.",Jim Gordon,@gordone_cellars,50.0,,Pinot Noir,Anderson Valley,,California,US,La Crema,,
40354,92,Lepe 2014 Unoaked Chardonnay (Arroyo Seco),"Slightly reductive in style, this wine shows aromas of lime skins and Brie-cheese rind before opening a bit toward lemon blossoms and raw cashews. The palate possesses a stunningly grippy and chalky texture, with sharp flavors of Key-lime rind and pomelo pith.",Matt Kettmann,@mattkettmann,25.0,Unoaked,Chardonnay,Arroyo Seco,Central Coast,California,US,Lepe,,
40355,92,Palmina 2013 Dolcetto (Santa Ynez Valley),"Fresh on the nose with black plum, dried tarragon, hot asphalt, potpourri and a touch of Earl Grey tea, this is a well-priced wine with great versatility for all sorts of foods. The palate is vibrant and bursting with energy, juicy enough for a summer day but made serious with firm tannins. It could hold up to steak as well as complementing roasted fish.",Matt Kettmann,@mattkettmann,20.0,,Dolcetto,Santa Ynez Valley,Central Coast,California,US,Palmina,,
40356,92,Poseidon 2013 Primo's Hill Estate Grown Pinot Noir (Carneros),"A light toasty, meaty aroma and savory flavors help this wine stand out from the pack. Full bodied, it's well structured due to firm tannins and acidity. It should be best after 2018.",Jim Gordon,@gordone_cellars,55.0,Primo's Hill Estate Grown,Pinot Noir,Carneros,Napa-Sonoma,California,US,Poseidon,,
40357,92,Quinta das Marias 2014 Lote Red (Dão),"Aged for a year in oak, this rich wine is a blend that includes Touriga Nacional and Alfrocheiro. It has a fine structure that brings in dense tannins as well as a darker, firmer character that will allow it to age further. Drink from 2018.",Roger Voss,@vossroger,16.0,Lote,Portuguese Red,,,Dão,Portugal,Quinta das Marias,,
40358,92,Saviah 2013 Syrah (Walla Walla Valley (WA)),"This wine offers immediate appeal, opening with aromas of black olive, funk, flowers and moist earth. It does not disappoint, with soft fruit and savory flavors that coat the palate. Meaty flavors add to the enjoyment and the balance is spot on.",Sean P. Sullivan,@wawinereport,32.0,,Syrah,Walla Walla Valley (WA),Columbia Valley,Washington,US,Saviah,,
40414,92,Domaine Bruno Clair 2010 Les Véroilles  (Chambolle-Musigny),"The grapes to make this rich, ripe wine were sourced from vines that were planted in the 1980s. The vineyard, which is located next to Bonnes Mares, yields wines that have an open, generous style, plus elements of structure that lend aging potential. Ready to drink in two years, but it should age well for many more.",Roger Voss,@vossroger,,Les Véroilles,Pinot Noir,Chambolle-Musigny,,Burgundy,France,Domaine Bruno Clair,,
40415,92,Domaine Faiveley 2010 Les Damodes Premier Cru  (Nuits-St.-Georges),"With its firm tannins and structure, this is a wine that's made in the traditional Nuits-St.-Georges style. But it's also packed with ripe red fruit, and it has a jammy character and an open feel. There is no doubt that this is a wine to age for at least five years.",Roger Voss,@vossroger,100.0,Les Damodes Premier Cru,Pinot Noir,Nuits-St.-Georges,,Burgundy,France,Domaine Faiveley,,
40416,92,Forgeron 2011 Chardonnay (Columbia Valley (WA)),"Roughly half of the blend is made from fruit that comes from 30-year-old vines. An addition of 6% Muscat adds a scent of tree fruit, and the lovely citrus and stone fruit flavors are enhanced by a fresh-baked bread note. It has excellent concentration and impeccable balance, plus a long, satisfying finish.",Paul Gregutt,@paulgwine ,27.0,,Chardonnay,Columbia Valley (WA),Columbia Valley,Washington,US,Forgeron,,
40417,92,Gualdo del Re 2007 I'Rennero Merlot (Val di Cornia Suvereto),"This expression of Merlot is soft and plush, and it offers layers of cherry, raspberry and soft spice. Oak-derived aromas of toasted almond and clove are delicate and well integrated.",,,61.0,I'Rennero,Merlot,Val di Cornia Suvereto,,Tuscany,Italy,Gualdo del Re,,
40418,92,Volpaia 2008 Balifico Red (Toscana),"Balifico stands apart thanks to its dark, rich appearance and generous aromas. The blend is Sangiovese and Cabernet Sauvignon, and together these grapes offer notes of cherry and cassis, plus touches of dried rosemary and toasted spice. In contrast to the boldness of the bouquet, the palate is fine, polished and long-lasting.",,,57.0,Balifico,Red Blend,Toscana,,Tuscany,Italy,Volpaia,,
40419,92,Ramos-Pinto 2010 Duas Quintas Reserva Red (Douro),"Duas Quintas Reserva is now established as one of the benchmark wines in the Douro. This dark-colored effort has ripe, concentrated dark berry and herb flavors and a fine sense of tannic structure from wood aging. There's a strong sense of minerality as well, giving this richness and aging potential.",Roger Voss,@vossroger,30.0,Duas Quintas Reserva,Portuguese Red,,,Douro,Portugal,Ramos-Pinto,,
40420,92,Reininger 2009 Syrah (Walla Walla Valley (WA)),"This Syrah is at the top of the lineup for Reininger. It's tightly wound, yet it opens gracefully to reveal deep flavors of blueberry and plum, with resonating notes of earth, iron, espresso and dark chocolate. This can age for up to a decade.",Paul Gregutt,@paulgwine ,44.0,,Syrah,Walla Walla Valley (WA),Columbia Valley,Washington,US,Reininger,,
40421,92,Roche de Bellene 2010 Vieilles Vignes  (Meursault),"Tropical fruit aromas lead to a peach- and apricot-flavored palate. It shows old-vine concentration, spice from having aged in wood and a generous, velvet-like texture that is balanced by a fine shot of lemony acidity. Age this for 4–5 years.",Roger Voss,@vossroger,62.0,Vieilles Vignes,Chardonnay,Meursault,,Burgundy,France,Roche de Bellene,,
40422,92,"Steven Kent 2010 Merrillie, Landucci Block Chardonnay (Livermore Valley)","Although the 2010 vintage was cooler than the previous two years, this Chardonnay still offers rich and luscious notes of crème caramel and baked pear. The intoxicating bouquet picks up layers of lemon zest and mineral.",Virginie Boone,@vboone,34.0,"Merrillie, Landucci Block",Chardonnay,Livermore Valley,Central Coast,California,US,Steven Kent,,
40423,92,Januik 2009 Champoux Vineyard Cabernet Sauvignon (Horse Heaven Hills),"Stiff and tannic, this wine's bold black-cherry flavor, which is characteristic of the Champoux Vineyard, is veined with iron and gravel notes, plus a clover hint. It's complex and riveting, and the tannins finish with a peppery bite.",Paul Gregutt,@paulgwine ,55.0,Champoux Vineyard,Cabernet Sauvignon,Horse Heaven Hills,Columbia Valley,Washington,US,Januik,,
40424,92,Jonata 2007 Todos Red (Santa Ynez Valley),"Made from mostly Syrah and Cabernet Sauvignon, this is a compelling wine to drink now. It exudes concentrated flavors of raspberry and cherry that taste like they have been baked in pie crust and sprinkled with baking spice. Notes of bacon, licorice and sandalwood add further complexity. The structure is superb, with citrusy acids and supple tannins. All profits from the sale of this wine go to Jonata's vineyard crew.",,,50.0,Todos,Red Blend,Santa Ynez Valley,Central Coast,California,US,Jonata,,
40425,92,Joseph Drouhin 2010 Beaune Grèves Premier Cru  (Beaune),"With its firmness and juicy red-fruit flavor, this wine is delicious to drink now, but it will also age for at least six years. This bottling demonstrates the structure and generosity of one of Beaune's most famous premier crus.",Roger Voss,@vossroger,74.0,Beaune Grèves Premier Cru,Pinot Noir,Beaune,,Burgundy,France,Joseph Drouhin,,
40426,92,Maison Bleue 2011 Au Contraire French Creek Vineyard Chardonnay (Yakima Valley),"Focus and elegance are the hallmarks of this wine, and it offers the fruit purity that characterizes virtually all of Maison Bleue's white wines. From the first sniff to the last, resonating swallow, this smells and tastes like a bowl full of peaches, pineapples and mixed stone fruits. It's tight and defined, and it doesn't have new oak influence.",Paul Gregutt,@paulgwine ,25.0,Au Contraire French Creek Vineyard,Chardonnay,Yakima Valley,Columbia Valley,Washington,US,Maison Bleue,,
40427,92,Maison Champy 2010 Les Chênevottes Premier Cru  (Chassagne-Montrachet),"Bright and fruity, this Chardonnay has citrus and peach flavors, with notes of almond, vanilla and spice that reflect the wood aging and make this a wine that's crisp and rich. It has a strong texture, and it needs 4–5 years for its complexities to fully evolve.",Roger Voss,@vossroger,,Les Chênevottes Premier Cru,Chardonnay,Chassagne-Montrachet,,Burgundy,France,Maison Champy,,
40428,92,Abeja 2011 Chardonnay (Walla Walla Valley (WA)),"Made from fruit that was sourced entirely from the 1.5-acre estate vineyard, this limited-production, Dijon-clone-based Chardonnay captures the essence of the Abeja style. Complex, stylish and buttery, it's a striking, fruit-laden wine. The long, clean finish mixes a flavor of citrus rind with a streak of butterscotch.",Paul Gregutt,@paulgwine ,40.0,,Chardonnay,Walla Walla Valley (WA),Columbia Valley,Washington,US,Abeja,,
40429,92,Alaverdi Monastery Cellar 2010 Qvevri Traditional Kakhuri Dry Unfiltered Amber Wine Rkatsiteli (Kakheti),"From it's musky, perfumed to nose to it's intensely honeyed, dried-peach- and apricot-flavored palate, everything about this wine is mysterious and ethereal. Crafted by monks in an ancient Georgian monastery, this amber-hued wine is made from white grapes that were fermented and aged in clay vessels (qvevri) and that underwent extended skin contact, which resulted in a wine with puckering tannins and a richly textural mouthfeel.",Anna Lee C. Iijima,,25.0,Qvevri Traditional Kakhuri Dry Unfiltered Amber Wine,Rkatsiteli,,,Kakheti,Georgia,Alaverdi Monastery Cellar,,
40430,92,Albert Bichot 2010 Vide Bourse Premier Cru  (Chassagne-Montrachet),"Close to the white grand crus of Chassagne-Montrachet, this wine is structured and weighty, and it offers juicy apricot and pear flavors. A citrus element cuts through the wood influence and the steely texture, which brings freshness to the ripe, rich mouthfeel.",Roger Voss,@vossroger,,Vide Bourse Premier Cru,Chardonnay,Chassagne-Montrachet,,Burgundy,France,Albert Bichot,,
40431,92,Campolargo 2009 Rol de Coisas Antigas Red (Bairrada),"A blend of five grapes, this is a firm, tannic and age-worthy wine. Even the high alcohol doesn't show on the rich, well-balanced palate. It's full of plum and black currant flavors, and wood-derived flavors show on the finish.",Roger Voss,@vossroger,20.0,Rol de Coisas Antigas,Portuguese Red,,,Bairrada,Portugal,Campolargo,,
40432,92,Castello del Terriccio 2006 Lupicaia Red (Toscana),"A blend of Cabernet Sauvignon, Merlot and Petit Verdot, this offers a beautiful bouquet that's redolent of sweet cherry, candied fruit, Christmas spice and potpourri. The palate shows a soft richness that's balanced and lively without being cloying or heavy.",,,,Lupicaia,Red Blend,Toscana,,Tuscany,Italy,Castello del Terriccio,,
40433,92,Cecchi 2008 Riserva di Famiglia  (Chianti Classico),"This riserva opens with intense tones of ripe cherry, chocolate, leather and light spice. The palate feels firm and smooth, with mild tannins and a rich, velvety texture.",,,30.0,Riserva di Famiglia,Sangiovese,Chianti Classico,,Tuscany,Italy,Cecchi,,
40434,92,Antonin Rodet 2010 Château de Rully La Pucelle Cuvée Comte R. de Ternay Premier Cru  (Rully),"This wine has a tight structure that's laced with wood. The complex fruit is still settling into the structure, promising richness. Age this for at least five years.",Roger Voss,@vossroger,35.0,Château de Rully La Pucelle Cuvée Comte R. de Ternay Premier Cru,Chardonnay,Rully,,Burgundy,France,Antonin Rodet,,
40435,92,Benessere 2008 Phenomenon Red (Napa Valley),"There is a ton of black pepper flavor in this stylish blend of Cabernet Sauvignon, Sangiovese, Merlot and Syrah. It also bears notes of licorice, sweet red currants, grilled prosciutto and sandalwood. This tastes so rich that it almost seems sweet, but it's actually dry and balanced.",,,50.0,Phenomenon,Red Blend,Napa Valley,Napa,California,US,Benessere,,
